100 Days My Prince ,2018,,
12 Signs of Love ,2012,,
12 Years Promise ,2014,,
18 Again ,2020,,
1st Republic ,1981–82,,
4 Legendary Witches ,2014–15,,
365: Repeat the Year ,2020,,
49 Days ,2011,,
5th Republic ,2005,,
7 First Kisses ,2016–17,,
7th Grade Civil Servant ,2013,,
"90 Days, Time to Love ",2006–07,,
A Beautiful Mind ,2016,,
A Bird That Doesn't Sing ,2015,,
A Bloody Lucky Day ,2023,,
A Daughter Just Like You ,2015,,
A Gentleman's Dignity ,2012,,
A Girl Who Sees Smells ,2015,,
A Good Day to Be a Dog ,2023–24,,
A Happy Woman ,2007,,
A Hundred Year Legacy ,2013,,
A Killer Paradox ,2024,,
A Korean Odyssey ,2017–18,,
A Little Love Never Hurts ,2013–14,,
A Love So Beautiful ,2020–21,,
A Love to Kill ,2005,,
A Man Called God ,2010,,
A Model Family ,2022,,
A New Leaf ,2014,,
A Piece of Your Mind ,2020,,
A Place in the Sun ,2018–19,,
A Pledge to God ,2018–19,,
A Poem a Day ,2018,,
A Shop for Killers ,2024,,
A Shoulder to Cry On ,2023,,
A Superior Day ,2022,,
A Tale of Two Sisters ,2013,,
A Thousand Days' Promise ,2011,,
A Thousand Kisses ,2011–12,,
A Time Called You ,2023,,
A Witch's Love ,2014,,
A-Teen ,2018,,
A-Teen 2 ,2019,,
About Time ,2018,,
Abyss ,2019,,
Ad Genius Lee Tae-baek ,2013,,
Adamas ,2022,,
Adult Trainee ,2021,,
"Aeja's Older Sister, Minja ",2008,,
Aftermath ,2014,,
Again My Life ,2022,,
Age of Innocence ,2002,,
Age of Warriors ,2003–04,,
Agency ,2023,,
Air City ,2007,,
Alchemy of Souls ,2022–23,,
Alice ,2020,,
All About Eve ,2000,,
All About My Mom ,2015–16,,
All About My Romance ,2013,,
All In ,2003,,
All My Love for You ,2010–11,,
All of Us Are Dead ,2022–present,,
All That We Loved ,2023,,
Alone in Love ,2006,,
Amanza ,2020,,
Amor Fati ,2021,,
Andante ,2017–18,,
Ang Shim Jung ,2010–11,,
Angel Eyes ,2014,,
Angel's Choice ,2012,,
Angel's Last Mission: Love ,2019,,
Angel's Revenge ,2014,,
Angry Mom ,2015,,
Anna ,2022,,
Another Miss Oh ,2016,,
Another Peaceful Day of Second-Hand Items ,2021,,
Apgujeong Midnight Sun ,2014–15,,
April Kiss ,2004,,
Arang and the Magistrate ,2012,,
Are You Human? ,2018,,
Argon ,2017,,
Arthdal Chronicles ,2019–23,,
Artificial City ,2021–22,,
Ask the Stars ,TBA,,
Asphalt Man ,1995,,
Assembly ,2015,,
Assorted Gems ,2009–10,,
At Eighteen ,2019,,
"At a Distance, Spring Is Green ",2021,,
Athena: Goddess of War ,2010–11,,
Autumn Shower ,2005,,
Avengers Social Club ,2017,,
Awaken ,2020–21,,
Babel ,2019,,
Baby Faced Beauty ,2011,,
Babysitter ,2016,,
Bachelor's Vegetable Store ,2011–12,,
Backstreet Rookie ,2020,,
Bad and Crazy ,2021–22,,
Bad Family ,2006,,
Bad Guy ,2010,,
Bad Guys ,2014,,
Bad Guys 2 ,2017–18,,
Bad Housewife ,2005,,
Bad Memory Eraser ,TBA,,
Bad Papa ,2018,,
Bad Prosecutor ,2022,,
"Bad Thief, Good Thief ",2017,,
"Bad Woman, Good Woman ",2007,,
Ballad of Seodong ,2005–06,,
Band of Sisters ,2017,,
Banjun Drama ,2004–06,,
Bargain ,2022,,
Basketball ,2013,,
Battle for Happiness ,2023,,
Be Melodramatic ,2019,,
Be My Dream Family ,2021,,
Be Positive ,2016,,
"Be Strong, Geum-soon! ",2005,,
Beating Again ,2015,,
Beating Heart ,2005,,
Beautiful Days ,2001,,
Beautiful Gong Shim ,2016,,
"Beautiful Love, Wonderful Life ",2019–20,,
Beautiful World ,2019,,
Beauty and Mr. Romantic ,2024,,
Because This Is My First Life ,2017,,
Because This Is My First Twenty ,2018,,
Becky's Back ,2016,,
Becoming a Billionaire ,2010,,
Becoming Witch ,2022,,
Beethoven Virus ,2008,,
Begins ? Youth ,2024,,
Behind Every Star ,2022,,
